page_url,image_url,text_surrogate
https://harrypotter.fandom.com/wiki/Stanley_Shunpike,https://static.wikia.nocookie.net/harrypotter/images/4/49/StanShunpike.jpg,Stanley Shunpike | Harry Potter Wiki | Fandom StanShunpike
https://harrypotter.fandom.com/wiki/Weasley_family,https://static.wikia.nocookie.net/harrypotter/images/5/50/Weasley_Wizarding_Vacation_in_Egypt.png,Weasley family | Harry Potter Wiki | Fandom Weasley Wizarding Vacation in Egypt
https://harrypotter.fandom.com/wiki/Hallowe%27en_feast,https://static.wikia.nocookie.net/harrypotter/images/d/d8/B3C8M1_Great_Hall_Halloween_With_Ghosts_And_Students_Moment.jpg,Hallowe'en feast | Harry Potter Wiki | Fandom HalloweenFeastPottermore
https://harrypotter.fandom.com/wiki/Order_of_the_Phoenix,https://static.wikia.nocookie.net/harrypotter/images/6/69/Original_Order_of_the_Phoenix.jpg,Order of the Phoenix | Harry Potter Wiki | Fandom 1979
https://harrypotter.fandom.com/wiki/Order_of_the_Phoenix,https://static.wikia.nocookie.net/harrypotter/images/6/6b/Order_of_the_Phoenix_in_the_Great_Hall_DHF2.jpg,Order of the Phoenix | Harry Potter Wiki | Fandom 1998
https://harrypotter.fandom.com/wiki/Ted_Tonks,https://static.wikia.nocookie.net/harrypotter/images/4/42/Ted_Tonks.jpg,Edward Tonks | Harry Potter Wiki | Fandom Ted Tonks
https://harrypotter.fandom.com/wiki/Bran_the_Bloodthirsty,https://static.wikia.nocookie.net/harrypotter/images/5/5e/Bran_the_Bloodthirsty.png,Bran the Bloodthirsty | Harry Potter Wiki | Fandom Bran the Bloodthirsty
https://harrypotter.fandom.com/wiki/Orion_Amari,https://static.wikia.nocookie.net/harrypotter/images/6/64/Orion_Amari_HM8.png,Orion Amari | Harry Potter Wiki | Fandom Orion Amari HM8
https://harrypotter.fandom.com/wiki/Chudley_Cannons,https://static.wikia.nocookie.net/harrypotter/images/2/24/ChudleyCannons.png,Chudley Cannons | Harry Potter Wiki | Fandom ChudleyCannons
https://harrypotter.fandom.com/wiki/Jamie_Waylett,https://static.wikia.nocookie.net/harrypotter/images/4/49/Jamie_Waylett_1.jpg,Jamie Waylett | Harry Potter Wiki | Fandom Jamie Waylett 1
https://harrypotter.fandom.com/wiki/First_Wizarding_War,https://static.wikia.nocookie.net/harrypotter/images/6/67/Voldemort_arrives.gif/revision/latest?cb=20140804174322,First Wizarding War | Harry Potter Wiki | Fandom Voldemort arrives
https://harrypotter.fandom.com/wiki/Patagonian_Desert,https://static.wikia.nocookie.net/harrypotter/images/0/0b/ArgentinaPatagonianDesert.png,Patagonian Desert | Harry Potter Wiki | Fandom ArgentinaPatagonianDesert
